INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA
60,IlNl,2,N,LAT,N,0,00,000
60,IlNl,2,I,LAT,N?,0,00,000
91,IlNl,2,N,LAT,N,0,00,000
91,IlNl,2,I,LAT,I,0,00,000
105,Nl,1,N,LAT,N,0,00,000
111,Nl,1,N,LAT,N,0,00,000
122,Nl,1,N,LAT,N,0,00,000
131,Nl,1,N,LAT,N,0,00,000
135,Il,1,I,LAT,I,0,00,000
141,IlNl,2,I,LAT,I,0,00,000
141,IlNl,2,N,LAT,N,0,00,000
171,...Il,2,I,LAT,I,0,00,000
171,...Il,2,I,LAT,I,0,00,000
211,Cl,1,C,LAT,C,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,I,LAT,I,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,X,LAT,NUM,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,X,LAT,NUM,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,P,LAT,P,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,P,LAT,P,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,C,LAT,C,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,X,LAT,NUM,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,N,LAT,N,0,00,000
225,ClIlIlNlPlPlXlXlXl,9,I,LAT,I,0,00,000
256,IlNlNlXl,4,N,LAT,N,0,00,000
256,IlNlNlXl,4,X,LAT,NUM,0,00,000
256,IlNlNlXl,4,I,LAT,I,0,00,000
256,IlNlNlXl,4,N,LAT,N,0,00,000
270,IlNlPlXl,4,N,LAT,N,0,00,000
270,IlNlPlXl,4,I,LAT,NUM?,0,00,000
270,IlNlPlXl,4,X,LAT,NUM,0,00,000
270,IlNlPlXl,4,P,LAT,P,0,00,000
283,Il,1,I,LAT,P?,0,00,000
293,IlPl,2,P,LAT,P,0,00,000
293,IlPl,2,I,LAT,N?,0,00,000
296,NlPl,2,P,LAT,P,8,80,8015
296,NlPl,2,N,LAT,N,8,80,8015
360,Il,1,I,LAT,P?,0,00,000
431,Il,1,I,LAT,I,6,614,61439
432,Il,1,I,LAT,I,8,80,8015
433,IlIlNl,3,N,LAT,N,8,80,8015
433,IlIlNl,3,I,LAT,I,8,80,8015
433,IlIlNl,3,I,LAT,N?,8,80,8015
441,IlNl,2,N,LAT,N,7,77,775
441,IlNl,2,I,LAT,I,7,77,775
467,IlNlXl,3,I,LAT,I,6,615,6151
467,IlNlXl,3,N,LAT,N,6,615,6151
467,IlNlXl,3,X,LAT,NUM,6,615,6151
476,IlIlNl,3,N,LAT,N,6,615,61522
476,IlIlNl,3,I,LAT,I,6,615,61522
476,IlIlNl,3,I,LAT,I,6,615,61522
478,IlIl,2,I,LAT,N?,6,613,61316
478,IlIl,2,I,LAT,N?,6,613,61316
497,Nl,1,N,LAT,N,9,98,985
498,IlNl,2,I,LAT,NUM?,0,00,000
498,IlNl,2,N,LAT,N,0,00,000
499,Nl,1,N,LAT,N,9,98,986
505,Nl,1,N,LAT,N,6,613,61313
515,Nl,1,N,LAT,N,0,00,000
516,Nl,1,N,LAT,N,0,00,000
517,Nl,1,N,LAT,N,8,82,820
518,Nl,1,N,LAT,N,8,80,8016
519,Nl,1,N,LAT,N,9,96,968
524,NlNl,2,N,LAT,N,0,00,000
524,NlNl,2,N,LAT,N,0,00,000
530,Nl,1,N,LAT,N,0,00,000
541,Nl,1,N,LAT,N,6,613,61319
557,NlNl,2,N,LAT,N,0,00,000
557,NlNl,2,N,LAT,N,0,00,000
596,NlXlXlXligigxg,7,X,LAT,NUM,0,00,000
596,NlXlXlXligigxg,7,X,LAT,NUM,0,00,000
596,NlXlXlXligigxg,7,x,GRA,NUM,0,00,000
596,NlXlXlXligigxg,7,X,LAT,NUM,0,00,000
596,NlXlXlXligigxg,7,N,LAT,N,0,00,000
596,NlXlXlXligigxg,7,i,GRA,I,0,00,000
596,NlXlXlXligigxg,7,i,GRA,I,0,00,000
601,Nligigng,4,n,GRA,N,0,00,000
601,Nligigng,4,N,LAT,N,0,00,000
601,Nligigng,4,i,GRA,NUM?,0,00,000
601,Nligigng,4,i,GRA,NUM?,0,00,000
603,IlIl,2,I,LAT,NUM?,9,98,980
603,IlIl,2,I,LAT,N?,9,98,980
605,Nlig,2,N,LAT,N,0,00,000
605,Nlig,2,i,GRA,I,0,00,000
623,Nlng,2,n,GRA,N,6,65,657
623,Nlng,2,N,LAT,N,6,65,657
636,Il,1,I,LAT,N?,0,00,000
639,Il,1,I,LAT,N?,0,00,000
643,IlIlXlig,4,I,LAT,N?,0,00,000
643,IlIlXlig,4,I,LAT,N?,0,00,000
643,IlIlXlig,4,X,LAT,NUM,0,00,000
643,IlIlXlig,4,i,GRA,I,0,00,000
649,Nl,1,N,LAT,N,9,95,959
650,Nl,1,N,LAT,N,9,95,959
658,Il,1,I,LAT,NUM?,9,98,986
662,IlIlXlig,4,X,LAT,NUM,5,52,520
662,IlIlXlig,4,I,LAT,N?,5,52,520
662,IlIlXlig,4,I,LAT,NUM?,5,52,520
662,IlIlXlig,4,i,GRA,NUM?,5,52,520
663,Nl,1,N,LAT,N,9,98,986
664,Xlig,2,X,LAT,NUM,0,00,000
664,Xlig,2,i,GRA,NUM?,0,00,000
665,Xlig,2,X,LAT,NUM,6,613,61316
665,Xlig,2,i,GRA,NUM?,6,613,61316
666,Xlig,2,X,LAT,NUM,8,80,8024
666,Xlig,2,i,GRA,NUM?,8,80,8024
669,Il,1,I,LAT,N?,6,614,61438
673,Il,1,I,LAT,N?,6,614,61438
674,Il,1,I,LAT,N?,6,614,61438
675,Il,1,I,LAT,N?,6,614,61438
676,IlIlig,3,I,LAT,N?,0,00,000
676,IlIlig,3,I,LAT,NUM?,0,00,000
676,IlIlig,3,i,GRA,NUM?,0,00,000
683,Nl,1,N,LAT,N,5,52,520
692,IlNl,2,N,LAT,N,5,52,520
692,IlNl,2,I,LAT,N?,5,52,520
696,Il,1,I,LAT,I,8,80,8015
697,IlIlIl,3,I,LAT,N?,8,80,8015
697,IlIlIl,3,I,LAT,NUM?,8,80,8015
697,IlIlIl,3,I,LAT,I,8,80,8015
700,IlXl,2,I,LAT,I,8,80,8037
700,IlXl,2,X,LAT,NUM,8,80,8037
707,Il,1,I,LAT,N?,9,98,986
720,IlNl,2,N,LAT,N,0,00,000
720,IlNl,2,I,LAT,I,0,00,000
721,Il,1,I,LAT,N?,6,614,61438
726,NlNl,2,N,LAT,N,9,99,990
726,NlNl,2,N,LAT,N,9,99,990
728,Il,1,I,LAT,I,9,97,974
732,IlXl,2,X,LAT,NUM,9,96,965
732,IlXl,2,I,LAT,I,9,96,965
734,Xlig,2,X,LAT,NUM,8,80,8015
734,Xlig,2,i,GRA,NUM?,8,80,8015
744,IlNl,2,I,LAT,NUM?,5,52,520
744,IlNl,2,N,LAT,N,5,52,520
752,NlPlng,3,n,GRA,N,6,613,61316
752,NlPlng,3,N,LAT,N,6,613,61316
752,NlPlng,3,P,LAT,P,6,613,61316
753,IlIlNl,3,N,LAT,N,9,97,9720
753,IlIlNl,3,I,LAT,I,9,97,9720
753,IlIlNl,3,I,LAT,I,9,97,9720
768,IlIl,2,I,LAT,N?,8,80,8015
768,IlIl,2,I,LAT,N?,8,80,8015
769,IlIl,2,I,LAT,N?,8,80,8015
769,IlIl,2,I,LAT,N?,8,80,8015
770,IlIl,2,I,LAT,N?,5,52,520
770,IlIl,2,I,LAT,N?,5,52,520
771,IlIl,2,I,LAT,N?,5,52,520
771,IlIl,2,I,LAT,N?,5,52,520
772,IlIl,2,I,LAT,N?,9,92,9218
772,IlIl,2,I,LAT,N?,9,92,9218
779,Nl,1,N,LAT,N,0,00,000
780,Nl,1,N,LAT,N,9,98,984
783,Il,1,I,LAT,N?,0,00,000
787,Nl,1,N,LAT,N,0,00,000
797,IlIl,2,I,LAT,NUM?,0,00,000
797,IlIl,2,I,LAT,N?,0,00,000
811,IlIlig,3,I,LAT,NUM?,8,80,8015
811,IlIlig,3,I,LAT,I,8,80,8015
811,IlIlig,3,i,GRA,I,8,80,8015
812,Il,1,I,LAT,I,6,615,61520
826,IlIl,2,I,LAT,NUM?,8,82,8221
826,IlIl,2,I,LAT,N?,8,82,8221
838,IlIlIl,3,I,LAT,I,0,00,000
838,IlIlIl,3,I,LAT,I,0,00,000
838,IlIlIl,3,I,LAT,N?,0,00,000
842,IlIl,2,I,LAT,I,8,80,8015
842,IlIl,2,I,LAT,I,8,80,8015
869,Il,1,I,LAT,I,6,614,61438
893,Il,1,I,LAT,N?,0,00,000
902,IlNl,2,I,LAT,I,0,00,000
902,IlNl,2,N,LAT,N,0,00,000
913,Il,1,I,LAT,NUM?,5,52,520
956,ng,1,n,GRA,N,9,95,950
957,ig,1,i,GRA,I,0,00,000
963,ng,1,n,GRA,N,5,52,520
970,ng,1,n,GRA,N,0,00,000
971,igng,2,n,GRA,N,5,52,521
971,igng,2,i,GRA,I,5,52,521
972,ig,1,i,GRA,I,8,80,8015
973,ng,1,n,GRA,N,0,00,000
974,ng,1,n,GRA,N,6,613,61316
975,ng,1,n,GRA,N,5,52,520
976,igng,2,n,GRA,N,5,52,520
976,igng,2,i,GRA,I,5,52,520
977,ngpg,2,n,GRA,N,6,613,61316
977,ngpg,2,i,GRA,P?,6,613,61316
978,igigng,3,n,GRA,N,6,613,61316
978,igigng,3,i,GRA,I,6,613,61316
978,igigng,3,i,GRA,P?,6,613,61316
979,igigng,3,n,GRA,N,6,613,61316
979,igigng,3,i,GRA,P?,6,613,61316
979,igigng,3,i,GRA,I,6,613,61316
980,igigng,3,n,GRA,N,6,613,61316
980,igigng,3,i,GRA,P?,6,613,61316
980,igigng,3,i,GRA,I,6,613,61316
981,igigng,3,n,GRA,N,6,613,61316
981,igigng,3,i,GRA,P?,6,613,61316
981,igigng,3,i,GRA,I,6,613,61316
982,igigng,3,n,GRA,N,6,613,61316
982,igigng,3,i,GRA,P?,6,613,61316
982,igigng,3,i,GRA,NUM?,6,613,61316
995,igig,2,i,GRA,N?,9,95,950
995,igig,2,i,GRA,I,9,95,950
1002,igngpg,3,n,GRA,N,0,00,000
1002,igngpg,3,p,GRA,P,0,00,000
1002,igngpg,3,i,GRA,I,0,00,000
1004,pg,1,p,GRA,P,6,614,61438
1005,igpg,2,i,GRA,I,8,80,805
1005,igpg,2,p,GRA,P,8,80,805
1030,igigigig,4,i,GRA,P?,0,00,000
1030,igigigig,4,i,GRA,N?,0,00,000
1030,igigigig,4,i,GRA,I,0,00,000
1030,igigigig,4,i,GRA,N?,0,00,000
1032,Xlig,2,X,LAT,NUM,8,80,8015
1032,Xlig,2,i,GRA,I,8,80,8015
1033,Xlig,2,i,GRA,I,8,82,8239
1033,Xlig,2,X,LAT,NUM,8,82,8239
1047,Ilig,2,I,LAT,NUM?,6,613,61313
1047,Ilig,2,i,GRA,I,6,613,61313
1057,ng,1,n,GRA,N,5,51,5118
1058,ng,1,n,GRA,N,5,52,520
1059,ng,1,n,GRA,N,5,52,520
1060,ng,1,n,GRA,N,6,616,61611
1062,igng,2,n,GRA,N,5,52,520
1062,igng,2,i,GRA,I,5,52,520
1063,igng,2,n,GRA,N,5,52,520
1063,igng,2,i,GRA,I,5,52,520
1064,igng,2,n,GRA,N,6,616,61611
1064,igng,2,i,GRA,I,6,616,61611
1080,Xlig,2,X,LAT,NUM,6,613,61316
1080,Xlig,2,i,GRA,N?,6,613,61316
1086,ng,1,n,GRA,N,8,80,8015
1089,ng,1,n,GRA,N,5,52,5218
1090,ng,1,n,GRA,N,5,52,521
1091,ng,1,n,GRA,N,5,52,521
1092,ng,1,n,GRA,N,5,52,521
1093,ng,1,n,GRA,N,5,52,521
1096,ng,1,n,GRA,N,0,00,000
1097,ng,1,n,GRA,N,9,97,974
1098,ng,1,n,GRA,N,6,65,657
1099,ng,1,n,GRA,N,0,00,000
1100,ng,1,n,GRA,N,0,00,000
1101,ng,1,n,GRA,N,0,00,000
1103,igng,2,n,GRA,N,9,92,9217
1103,igng,2,i,GRA,NUM?,9,92,9217
1104,Ilng,2,I,LAT,I,9,92,9217
1104,Ilng,2,n,GRA,N,9,92,9217
1105,ng,1,n,GRA,N,9,92,9217
1106,ng,1,n,GRA,N,9,92,9217
1107,igng,2,n,GRA,N,9,92,9217
1107,igng,2,i,GRA,NUM?,9,92,9217
1108,igigng,3,i,GRA,NUM?,9,92,9217
1108,igigng,3,n,GRA,N,9,92,9217
1108,igigng,3,i,GRA,NUM?,9,92,9217
1109,igng,2,i,GRA,I,9,92,9217
1109,igng,2,n,GRA,N,9,92,9217
1110,igng,2,i,GRA,I,9,92,9217
1110,igng,2,n,GRA,N,9,92,9217
1111,ng,1,n,GRA,N,6,613,61316
1112,ng,1,n,GRA,N,6,613,61316
1121,ng,1,n,GRA,N,8,80,8015
1125,ng,1,n,GRA,N,0,00,000
1127,igng,2,n,GRA,N,0,00,000
1127,igng,2,i,GRA,NUM?,0,00,000
1128,igigng,3,n,GRA,N,0,00,000
1128,igigng,3,i,GRA,NUM?,0,00,000
1128,igigng,3,i,GRA,NUM?,0,00,000
1129,igng,2,n,GRA,N,6,615,6156
1129,igng,2,i,GRA,NUM?,6,615,6156
1130,igigng,3,n,GRA,N,0,00,000
1130,igigng,3,i,GRA,NUM?,0,00,000
1130,igigng,3,i,GRA,NUM?,0,00,000
1131,igigng,3,n,GRA,N,0,00,000
1131,igigng,3,i,GRA,NUM?,0,00,000
1131,igigng,3,i,GRA,NUM?,0,00,000
1132,SSigigigng,5,S,\N,S,6,613,61316
1132,SSigigigng,5,n,GRA,N,6,613,61316
1132,SSigigigng,5,i,GRA,NUM?,6,613,61316
1132,SSigigigng,5,i,GRA,NUM?,6,613,61316
1132,SSigigigng,5,i,GRA,NUM?,6,613,61316
1133,igigng,3,i,GRA,NUM?,0,00,000
