INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA
60,NN?NN,2,N,LAT,N,0,00,000
60,NN?NN,2,I,LAT,N?,0,00,000
91,IINN,2,N,LAT,N,0,00,000
91,IINN,2,I,LAT,I,0,00,000
105,NN,1,N,LAT,N,0,00,000
111,NN,1,N,LAT,N,0,00,000
122,NN,1,N,LAT,N,0,00,000
131,NN,1,N,LAT,N,0,00,000
135,II,1,I,LAT,I,0,00,000
141,IINN,2,I,LAT,I,0,00,000
141,IINN,2,N,LAT,N,0,00,000
171,II...,2,I,LAT,I,0,00,000
171,II...,2,I,LAT,I,0,00,000
211,CC,1,C,LAT,C,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,I,LAT,I,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,X,LAT,NUM,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,X,LAT,NUM,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,P,LAT,P,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,P,LAT,P,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,C,LAT,C,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,X,LAT,NUM,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,N,LAT,N,0,00,000
225,PPXXXXXXNNIIIIPPCC,9,I,LAT,I,0,00,000
256,NNIIXXNN,4,N,LAT,N,0,00,000
256,NNIIXXNN,4,X,LAT,NUM,0,00,000
256,NNIIXXNN,4,I,LAT,I,0,00,000
256,NNIIXXNN,4,N,LAT,N,0,00,000
270,XX?XXNNPP,4,N,LAT,N,0,00,000
270,XX?XXNNPP,4,I,LAT,NUM?,0,00,000
270,XX?XXNNPP,4,X,LAT,NUM,0,00,000
270,XX?XXNNPP,4,P,LAT,P,0,00,000
283,PP?,1,I,LAT,P?,0,00,000
293,PPNN?,2,P,LAT,P,0,00,000
293,PPNN?,2,I,LAT,N?,0,00,000
296,PPNN,2,P,LAT,P,8,80,8015
296,PPNN,2,N,LAT,N,8,80,8015
360,PP?,1,I,LAT,P?,0,00,000
431,II,1,I,LAT,I,6,614,61439
