INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA
60,NNlNNl,2,N,LAT,N,0,00,000
60,NNlNNl,2,I,LAT,N?,0,00,000
91,IIlNNl,2,N,LAT,N,0,00,000
91,IIlNNl,2,I,LAT,I,0,00,000
105,NNl,1,N,LAT,N,0,00,000
111,NNl,1,N,LAT,N,0,00,000
122,NNl,1,N,LAT,N,0,00,000
131,NNl,1,N,LAT,N,0,00,000
135,IIl,1,I,LAT,I,0,00,000
141,IIlNNl,2,I,LAT,I,0,00,000
141,IIlNNl,2,N,LAT,N,0,00,000
171,IIl...,2,I,LAT,I,0,00,000
171,IIl...,2,I,LAT,I,0,00,000
211,CCl,1,C,LAT,C,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,I,LAT,I,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,X,LAT,NUM,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,X,LAT,NUM,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,P,LAT,P,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,P,LAT,P,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,C,LAT,C,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,X,LAT,NUM,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,N,LAT,N,0,00,000
225,PPlXXlXXlXXlNNlIIlIIlPPlCCl,9,I,LAT,I,0,00,000
256,NNlIIlXXlNNl,4,N,LAT,N,0,00,000
256,NNlIIlXXlNNl,4,X,LAT,NUM,0,00,000
256,NNlIIlXXlNNl,4,I,LAT,I,0,00,000
256,NNlIIlXXlNNl,4,N,LAT,N,0,00,000
270,XXlXXlNNlPPl,4,N,LAT,N,0,00,000
270,XXlXXlNNlPPl,4,I,LAT,NUM?,0,00,000
270,XXlXXlNNlPPl,4,X,LAT,NUM,0,00,000
270,XXlXXlNNlPPl,4,P,LAT,P,0,00,000
283,PPl,1,I,LAT,P?,0,00,000
293,PPlNNl,2,P,LAT,P,0,00,000
293,PPlNNl,2,I,LAT,N?,0,00,000
296,PPlNNl,2,P,LAT,P,8,80,8015
296,PPlNNl,2,N,LAT,N,8,80,8015
360,PPl,1,I,LAT,P?,0,00,000
431,IIl,1,I,LAT,I,6,614,61439
432,IIl,1,I,LAT,I,8,80,8015
433,IIlNNlNNl,3,N,LAT,N,8,80,8015
433,IIlNNlNNl,3,I,LAT,I,8,80,8015
433,IIlNNlNNl,3,I,LAT,N?,8,80,8015
441,IIlNNl,2,N,LAT,N,7,77,775
441,IIlNNl,2,I,LAT,I,7,77,775
467,XXlIIlNNl,3,I,LAT,I,6,615,6151
467,XXlIIlNNl,3,N,LAT,N,6,615,6151
467,XXlIIlNNl,3,X,LAT,NUM,6,615,6151
476,IIlNNlIIl,3,N,LAT,N,6,615,61522
476,IIlNNlIIl,3,I,LAT,I,6,615,61522
476,IIlNNlIIl,3,I,LAT,I,6,615,61522
478,NNlNNl,2,I,LAT,N?,6,613,61316
478,NNlNNl,2,I,LAT,N?,6,613,61316
497,NNl,1,N,LAT,N,9,98,985
498,XXlNNl,2,I,LAT,NUM?,0,00,000
498,XXlNNl,2,N,LAT,N,0,00,000
499,NNl,1,N,LAT,N,9,98,986
505,NNl,1,N,LAT,N,6,613,61313
515,NNl,1,N,LAT,N,0,00,000
516,NNl,1,N,LAT,N,0,00,000
517,NNl,1,N,LAT,N,8,82,820
518,NNl,1,N,LAT,N,8,80,8016
519,NNl,1,N,LAT,N,9,96,968
524,NNlNNl,2,N,LAT,N,0,00,000
524,NNlNNl,2,N,LAT,N,0,00,000
530,NNl,1,N,LAT,N,0,00,000
541,NNl,1,N,LAT,N,6,613,61319
557,NNlNNl,2,N,LAT,N,0,00,000
557,NNlNNl,2,N,LAT,N,0,00,000
596,XXlXXlXXlNNlIigXxgIig,7,X,LAT,NUM,0,00,000
596,XXlXXlXXlNNlIigXxgIig,7,X,LAT,NUM,0,00,000
596,XXlXXlXXlNNlIigXxgIig,7,x,GRA,NUM,0,00,000
596,XXlXXlXXlNNlIigXxgIig,7,X,LAT,NUM,0,00,000
596,XXlXXlXXlNNlIigXxgIig,7,N,LAT,N,0,00,000
596,XXlXXlXXlNNlIigXxgIig,7,i,GRA,I,0,00,000
596,XXlXXlXXlNNlIigXxgIig,7,i,GRA,I,0,00,000
601,NNlXxgXxgNng,4,n,GRA,N,0,00,000
601,NNlXxgXxgNng,4,N,LAT,N,0,00,000
