,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA
0,60,?NNlNNl,2,N,LAT,N,0,00,000
1,60,?NNlNNl,2,I,LAT,N?,0,00,000
2,91,IIlNNl,2,N,LAT,N,0,00,000
3,91,IIlNNl,2,I,LAT,I,0,00,000
4,105,NNl,1,N,LAT,N,0,00,000
5,111,NNl,1,N,LAT,N,0,00,000
6,122,NNl,1,N,LAT,N,0,00,000
7,131,NNl,1,N,LAT,N,0,00,000
8,135,IIl,1,I,LAT,I,0,00,000
9,141,IIlNNl,2,I,LAT,I,0,00,000
10,141,IIlNNl,2,N,LAT,N,0,00,000
11,171,...IIl,2,I,LAT,I,0,00,000
12,171,...IIl,2,I,LAT,I,0,00,000
13,211,CCl,1,C,LAT,C,0,00,000
14,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,I,LAT,I,0,00,000
15,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,X,LAT,NUM,0,00,000
16,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,X,LAT,NUM,0,00,000
17,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,P,LAT,P,0,00,000
18,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,P,LAT,P,0,00,000
19,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,C,LAT,C,0,00,000
20,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,X,LAT,NUM,0,00,000
21,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,N,LAT,N,0,00,000
22,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,I,LAT,I,0,00,000
23,256,IIlNNlNNlXXl,4,N,LAT,N,0,00,000
24,256,IIlNNlNNlXXl,4,X,LAT,NUM,0,00,000
25,256,IIlNNlNNlXXl,4,I,LAT,I,0,00,000
26,256,IIlNNlNNlXXl,4,N,LAT,N,0,00,000
27,270,?NNlPPlXXlXXl,4,N,LAT,N,0,00,000
28,270,?NNlPPlXXlXXl,4,I,LAT,NUM?,0,00,000
29,270,?NNlPPlXXlXXl,4,X,LAT,NUM,0,00,000
30,270,?NNlPPlXXlXXl,4,P,LAT,P,0,00,000
31,283,?PPl,1,I,LAT,P?,0,00,000
32,293,?NNlPPl,2,P,LAT,P,0,00,000
33,293,?NNlPPl,2,I,LAT,N?,0,00,000
34,296,NNlPPl,2,P,LAT,P,8,80,8015
35,296,NNlPPl,2,N,LAT,N,8,80,8015
36,360,?PPl,1,I,LAT,P?,0,00,000
37,431,IIl,1,I,LAT,I,6,614,61439
38,432,IIl,1,I,LAT,I,8,80,8015
39,433,?IIlNNlNNl,3,N,LAT,N,8,80,8015
40,433,?IIlNNlNNl,3,I,LAT,I,8,80,8015
41,433,?IIlNNlNNl,3,I,LAT,N?,8,80,8015
42,441,IIlNNl,2,N,LAT,N,7,77,775
43,441,IIlNNl,2,I,LAT,I,7,77,775
44,467,IIlNNlXXl,3,I,LAT,I,6,615,6151
45,467,IIlNNlXXl,3,N,LAT,N,6,615,6151
46,467,IIlNNlXXl,3,X,LAT,NUM,6,615,6151
47,476,IIlIIlNNl,3,N,LAT,N,6,615,61522
48,476,IIlIIlNNl,3,I,LAT,I,6,615,61522
49,476,IIlIIlNNl,3,I,LAT,I,6,615,61522
50,478,??NNlNNl,2,I,LAT,N?,6,613,61316
51,478,??NNlNNl,2,I,LAT,N?,6,613,61316
52,497,NNl,1,N,LAT,N,9,98,985
53,498,?NNlXXl,2,I,LAT,NUM?,0,00,000
54,498,?NNlXXl,2,N,LAT,N,0,00,000
55,499,NNl,1,N,LAT,N,9,98,986
56,505,NNl,1,N,LAT,N,6,613,61313
57,515,NNl,1,N,LAT,N,0,00,000
58,516,NNl,1,N,LAT,N,0,00,000
59,517,NNl,1,N,LAT,N,8,82,820
60,518,NNl,1,N,LAT,N,8,80,8016
61,519,NNl,1,N,LAT,N,9,96,968
62,524,NNlNNl,2,N,LAT,N,0,00,000
63,524,NNlNNl,2,N,LAT,N,0,00,000
64,530,NNl,1,N,LAT,N,0,00,000
65,541,NNl,1,N,LAT,N,6,613,61319
66,557,NNlNNl,2,N,LAT,N,0,00,000
67,557,NNlNNl,2,N,LAT,N,0,00,000
68,596,NNlXXlXXlXXlIigIigXxg,7,X,LAT,NUM,0,00,000
69,596,NNlXXlXXlXXlIigIigXxg,7,X,LAT,NUM,0,00,000
70,596,NNlXXlXXlXXlIigIigXxg,7,x,GRA,NUM,0,00,000
71,596,NNlXXlXXlXXlIigIigXxg,7,X,LAT,NUM,0,00,000
72,596,NNlXXlXXlXXlIigIigXxg,7,N,LAT,N,0,00,000
73,596,NNlXXlXXlXXlIigIigXxg,7,i,GRA,I,0,00,000
74,596,NNlXXlXXlXXlIigIigXxg,7,i,GRA,I,0,00,000
75,601,??NNlNngXxgXxg,4,n,GRA,N,0,00,000
76,601,??NNlNngXxgXxg,4,N,LAT,N,0,00,000
77,601,??NNlNngXxgXxg,4,i,GRA,NUM?,0,00,000
78,601,??NNlNngXxgXxg,4,i,GRA,NUM?,0,00,000
79,603,NNlXXl,2,I,LAT,NUM?,9,98,980
80,603,NNlXXl,2,I,LAT,N?,9,98,980
81,605,NNlIig,2,N,LAT,N,0,00,000
82,605,NNlIig,2,i,GRA,I,0,00,000
83,623,NNlNng,2,n,GRA,N,6,65,657
84,623,NNlNng,2,N,LAT,N,6,65,657
85,636,?NNl,1,I,LAT,N?,0,00,000
86,639,?NNl,1,I,LAT,N?,0,00,000
87,643,??NNlNNlXXlIig,4,I,LAT,N?,0,00,000
88,643,??NNlNNlXXlIig,4,I,LAT,N?,0,00,000
89,643,??NNlNNlXXlIig,4,X,LAT,NUM,0,00,000
90,643,??NNlNNlXXlIig,4,i,GRA,I,0,00,000
91,649,NNl,1,N,LAT,N,9,95,959
