,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
0,60,?NNlNNl,2,N,LAT,N,0,00,000,44,38,15,7,3,2,1,1,1
1,91,IIlNNl,2,N,LAT,N,0,00,000,41,36,14,7,3,2,1,1,1
2,105,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
3,111,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
4,122,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
5,131,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
6,135,IIl,1,I,LAT,I,0,00,000,13,11,5,3,1,1,1,1,1
7,141,IIlNNl,2,I,LAT,I,0,00,000,41,36,14,7,3,2,1,1,1
8,171,...IIl,2,I,LAT,I,0,00,000,50,43,17,8,3,2,1,1,1
9,211,CCl,1,C,LAT,C,0,00,000,16,13,5,3,1,1,1,1,1
10,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,I,LAT,I,0,00,000,143,124,67,35,19,11,8,5,5
11,256,IIlNNlNNlXXl,4,N,LAT,N,0,00,000,133,114,58,28,13,7,4,3,3
12,270,?NNlPPlXXlXXl,4,N,LAT,N,0,00,000,129,111,55,26,12,7,4,3,3
13,283,?PPl,1,I,LAT,P?,0,00,000,10,8,5,3,1,1,1,1,1
14,293,?NNlPPl,2,P,LAT,P,0,00,000,49,42,16,7,3,2,1,1,1
15,296,NNlPPl,2,P,LAT,P,8,80,8015,43,37,15,7,3,2,1,1,1
16,360,?PPl,1,I,LAT,P?,0,00,000,10,8,5,3,1,1,1,1,1
17,431,IIl,1,I,LAT,I,6,614,61439,13,11,5,3,1,1,1,1,1
18,432,IIl,1,I,LAT,I,8,80,8015,13,11,5,3,1,1,1,1,1
19,433,?IIlNNlNNl,3,N,LAT,N,8,80,8015,69,57,24,12,4,3,2,2,2
20,441,IIlNNl,2,N,LAT,N,7,77,775,41,36,14,7,3,2,1,1,1
21,467,IIlNNlXXl,3,I,LAT,I,6,615,6151,71,58,24,12,4,3,2,2,2
