,index,ID,INV_x,OT,ORD,CLA,TIN,concepta_x,CODEX 1,CODEX 2,CODEX 3,CODEX 4,CODEX 5,CODEX 6,CODEX 7,CODEX 8,CODEX 9,REGESTUM_x,LITTERAE_x,CONCEPTUM_x,DECLINATIO,MASC./FEM.,SING./PL.,IDX,CNS,FORMULA,PRAENOMEN,NOMEN,COGNOMEN,SUPERNOMINA,DUDOSOS,OBS,Unnamed: 0,INV_y,CODEX,concepta_y,REGESTUM_y,LITTERAE_y,CONCEPTUM_y,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
0,0,0,60,1,,NUL,ATR,2,I//N,N?//N,N//N,IN,N?N,NN,N,N?N,NN,N,LAT,N,,M,,M. C. D.,M. · C. · D.,,M. ·,C. ·,D.,,,"CIL, IV, 2612: ab altera parte.",0,60,NNlNNl,2,N,LAT,N,0,00,000,2,2,2,2,2,2,2,2,2
1,1,0,60,1,,NUL,ATR,2,I//N,N?//N,N//N,IN,N?N,NN,N,N?N,NN,I,LAT,N?,,,,popae onona...d,popae · onana[---]d,,,,,,,"[DANIEL MARTIN-ARROYO]: véase AE 1977, 0217, AE 1983, 0477 y AE 1988, 0089.",1,60,NNlNNl,2,I,LAT,N?,0,00,000,2,2,2,2,2,2,2,2,2
2,2,0,91,1,,NUL,ATR,2,I/N,I/N,I/N,IN,IN,IN,N,N,N,N,LAT,N,G,F,S,Iuliae Drosidis,Iuliae · Drosidis,,,Iuliae ·,Drosidis,,,\N,2,91,IIlNNl,2,N,LAT,N,0,00,000,5,5,4,3,2,2,2,2,2
3,3,0,91,1,,NUL,ATR,2,I/N,I/N,I/N,IN,IN,IN,N,N,N,I,LAT,I,,,,Pompeis ,Pompeis ,,,,,,Pompeis ,"[DANIEL MARTIN-ARROYO]: véase CIL, IV, 2657, 5551, 5559 y 5818 y Giordano&Casal.+1991+409.",3,91,IIlNNl,2,I,LAT,I,0,00,000,5,5,4,3,2,2,2,2,2
4,4,0,105,0,,NUL,ATR,1,N,N,N,N,N,N,N,N,N,N,LAT,N,G,M,S,M. Stlabori Felicis,M. · Stlaboris · Felicis,,M. ·,Stlaboris ·,Felicis,,,\N,4,105,NNl,1,N,LAT,N,0,00,000,16,16,12,9,6,4,4,3,2
5,5,0,111,0,,NUL,RUB,1,N,N,N,N,N,N,N,N,N,N,LAT,N,D,M,S,Vettio Frequeti,Vettio / Frequent[i],,,Vettio /,Frequent[i],,,"CIL, IV, 2671: litteris grandibus. CIL, IV, 2671-2677: qui secutur septem tituli amphorarum, ad eundem omnes C. Vettium Frequentem spectare videtur et propterea hic collecti proponuntur.",5,111,NNl,1,N,LAT,N,0,00,000,16,16,12,9,6,4,4,3,2
6,6,0,122,0,,NUL,VIR,1,N,N,N,N,N,N,N,N,N,N,LAT,N,G,M,S,L. Papini,L. Papini,,L.,Papini,,,,"CIL, IV, 2872: ego descripsi LIAPINI.",6,122,NNl,1,N,LAT,N,0,00,000,16,16,12,9,6,4,4,3,2
7,7,0,131,0,,NUL,RUB,1,N,N,N,N,N,N,N,N,N,N,LAT,N,,M,,C. E. F.,C. · E. · F.,,C. ·,E. ·,F.,,,\N,7,131,NNl,1,N,LAT,N,0,00,000,16,16,12,9,6,4,4,3,2
8,8,0,135,0,,NUL,ATR,1,I,I,I,I,I,I,,,,I,LAT,I,,,,...a...,[---]a[---],,,,,,,\N,8,135,IIl,1,I,LAT,I,0,00,000,23,21,16,11,6,4,4,3,2
9,9,0,141,1,,NUL,ATR,2,I/N,I/N,I/N,IN,IN,IN,N,N,N,I,LAT,I,,,,...IL {-49?},[---][I]L,,,,,,,\N,9,141,IIlNNl,2,I,LAT,I,0,00,000,5,5,4,3,2,2,2,2,2
